category,value,series,district,area,month
Red Light,15.0,Officer issued red light,Bay Of Plenty,Rotorua,2012-12-01
Red Light,12.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-01-01
Red Light,20.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-02-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-03-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-04-01
Red Light,15.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-05-01
Red Light,22.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-06-01
Red Light,23.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-07-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-08-01
Red Light,10.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-09-01
Red Light,22.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-10-01
Red Light,10.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-11-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Rotorua,2013-12-01
Red Light,9.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-01-01
Red Light,6.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-02-01
Red Light,15.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-03-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-04-01
Red Light,20.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-05-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-06-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-07-01
Red Light,19.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-08-01
Red Light,15.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-09-01
Red Light,12.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-10-01
Red Light,10.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-11-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Rotorua,2014-12-01
Red Light,11.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-01-01
Red Light,9.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-02-01
Red Light,11.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-03-01
Red Light,12.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-04-01
Red Light,19.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-05-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-06-01
Red Light,22.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-07-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-08-01
Red Light,15.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-09-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-10-01
Red Light,21.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-11-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Rotorua,2015-12-01
Red Light,20.0,Officer issued red light,Bay Of Plenty,Rotorua,2016-01-01
Red Light,12.0,Officer issued red light,Bay Of Plenty,Rotorua,2016-02-01
Red Light,12.0,Officer issued red light,Bay Of Plenty,Rotorua,2016-03-01
Red Light,13.0,Officer issued red light,Bay Of Plenty,Rotorua,2016-04-01
Red Light,18.0,Officer issued red light,Bay Of Plenty,Rotorua,2016-05-01
Red Light,21.0,Officer issued red light,Bay Of Plenty,Rotorua,2016-06-01
Red Light,20.0,Officer issued red light,Bay Of Plenty,Rotorua,2016-07-01
Red Light,25.0,Officer issued red light,Bay Of Plenty,Rotorua,2016-08-01
Red Light,24.0,Officer issued red light,Bay Of Plenty,Rotorua,2016-09-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2009-01-01
Red Light,4.0,Officer issued red light,Bay Of Plenty,Taupo,2009-03-01
Red Light,3.0,Officer issued red light,Bay Of Plenty,Taupo,2009-04-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2009-06-01
Red Light,4.0,Officer issued red light,Bay Of Plenty,Taupo,2009-07-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2009-08-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2009-11-01
Red Light,4.0,Officer issued red light,Bay Of Plenty,Taupo,2009-12-01
Red Light,3.0,Officer issued red light,Bay Of Plenty,Taupo,2010-03-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2010-04-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2010-06-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2010-09-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2010-10-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2010-12-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2011-01-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2011-02-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2011-03-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2011-04-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2011-05-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2011-08-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2011-09-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2011-10-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2011-12-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2012-01-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2012-03-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2012-04-01
Red Light,4.0,Officer issued red light,Bay Of Plenty,Taupo,2012-06-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2012-07-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2012-08-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2012-09-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2012-10-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2012-11-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2012-12-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2013-02-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2013-03-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2013-04-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2013-05-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2013-06-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2013-07-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2013-09-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2013-10-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2013-11-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2013-12-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2014-01-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2014-02-01
Red Light,7.0,Officer issued red light,Bay Of Plenty,Taupo,2014-04-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2014-05-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2014-06-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2014-07-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2014-09-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2014-10-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2014-11-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2014-12-01
Red Light,4.0,Officer issued red light,Bay Of Plenty,Taupo,2015-01-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2015-02-01
Red Light,3.0,Officer issued red light,Bay Of Plenty,Taupo,2015-03-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2015-04-01
Red Light,4.0,Officer issued red light,Bay Of Plenty,Taupo,2015-05-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2015-06-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2015-07-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2015-08-01
Red Light,5.0,Officer issued red light,Bay Of Plenty,Taupo,2015-09-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2015-10-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2015-11-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2015-12-01
Red Light,4.0,Officer issued red light,Bay Of Plenty,Taupo,2016-01-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2016-02-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2016-03-01
Red Light,3.0,Officer issued red light,Bay Of Plenty,Taupo,2016-04-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2016-05-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2016-06-01
Red Light,2.0,Officer issued red light,Bay Of Plenty,Taupo,2016-07-01
Red Light,1.0,Officer issued red light,Bay Of Plenty,Taupo,2016-08-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-01-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-02-01
Red Light,31.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-03-01
Red Light,26.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-04-01
Red Light,28.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-05-01
Red Light,51.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-06-01
Red Light,21.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-07-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-08-01
Red Light,23.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-09-01
Red Light,19.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-10-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-11-01
Red Light,45.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2009-12-01
Red Light,13.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-01-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-02-01
Red Light,21.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-03-01
Red Light,22.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-04-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-05-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-06-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-07-01
Red Light,19.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-08-01
Red Light,28.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-09-01
Red Light,24.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-10-01
Red Light,13.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-11-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2010-12-01
Red Light,26.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-01-01
Red Light,29.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-02-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-03-01
Red Light,15.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-04-01
Red Light,23.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-05-01
Red Light,19.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-06-01
Red Light,26.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-07-01
Red Light,15.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-08-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-09-01
Red Light,34.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-10-01
Red Light,24.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-11-01
Red Light,27.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2011-12-01
Red Light,21.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-01-01
Red Light,10.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-02-01
Red Light,25.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-03-01
Red Light,15.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-04-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-05-01
Red Light,30.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-06-01
Red Light,7.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-07-01
Red Light,38.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-08-01
Red Light,26.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-09-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-10-01
Red Light,22.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-11-01
Red Light,21.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2012-12-01
Red Light,10.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-01-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-02-01
Red Light,16.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-03-01
Red Light,18.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-04-01
Red Light,20.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-05-01
Red Light,37.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-06-01
Red Light,8.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-07-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-08-01
Red Light,31.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-09-01
Red Light,34.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-10-01
Red Light,12.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-11-01
Red Light,24.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2013-12-01
Red Light,19.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-01-01
Red Light,18.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-02-01
Red Light,18.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-03-01
Red Light,13.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-04-01
Red Light,28.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-05-01
Red Light,29.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-06-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-07-01
Red Light,26.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-08-01
Red Light,20.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-09-01
Red Light,18.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-10-01
Red Light,15.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-11-01
Red Light,12.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2014-12-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-01-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-02-01
Red Light,17.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-03-01
Red Light,13.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-04-01
Red Light,19.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-05-01
Red Light,25.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-06-01
Red Light,19.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-07-01
Red Light,15.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-08-01
Red Light,26.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-09-01
Red Light,13.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-10-01
Red Light,20.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-11-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2015-12-01
Red Light,12.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2016-01-01
Red Light,13.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2016-02-01
Red Light,18.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2016-03-01
Red Light,24.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2016-04-01
Red Light,14.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2016-05-01
Red Light,12.0,Officer issued red light,Bay Of Plenty,Western Bay of Plenty,2016-06-01
